Number,Last,First,IP,GP,GS,BF,#P,W,L,SV,SVO,BS,SV%,H,R,ER,BB,SO,K-L,HBP,ERA,WHIP,LOB,BK,PIK,CS,SB,SB%,WP,BAA,P/IP,P/BF,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,SM%,K/BF,K/BB,WEAK%,HHB%,GO/AO,HR,LD%,FB%,GB%,BABIP,BA/RISP
15,Robertson,Chase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Jiminez,Joseph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Hernandez,Abraham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Griffin,Drew,1,1,0,4,17,0,0,0,0,0,0,1,0,0,1,2,0,0,0,2,1,0,0,1,2,66.67,1,0.333,17,4.25,50,0,0,0,0,1.73,52.94,50,100,0,0,1,0,0,1,0,17.65,0.5,2,0,100,0,0,100,0,0,1,0
20,Tarling,Cameron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Young,Johnny,18.1,8,2,82,319,1,1,0,0,0,0,13,5,5,11,26,8,4,1.909,1.309,23,0,0,0,5,100,0,0.197,17.4,3.89,40.24,10,5,4,6,2.44,62.7,67.07,74.55,3.64,18.18,0.6,9,2,3,0,11.29,0.317,2.364,75.61,24.39,0.857,0,17.07,36.59,46.34,0.317,0.233
22,Garcia,Cristian,5,3,1,22,76,1,0,0,0,0,0,2,0,0,4,6,2,1,0,1.2,5,0,0,0,2,100,2,0.118,15.2,3.455,45.45,4,3,3,3,3.354,57.89,31.82,71.43,0,14.29,0.8,3,0,1,0,10.53,0.273,1.5,90.91,9.09,3.5,0,0,18.18,81.82,0.182,0.2
23,Max,Robinson,1.1,1,0,4,15,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,11.3,3.75,50,1,1,0,0,0.155,60,25,100,0,0,0,0,0,0,0,6.67,0.5,0,100,0,1,0,0,50,50,0,0
24,Turner,Braden,20,4,4,79,268,4,0,0,0,0,0,19,6,5,2,25,10,1,1.75,1.05,13,0,1,1,2,66.67,0,0.25,13.4,3.392,51.9,14,12,7,13,1.051,72.39,70.89,75,1.79,23.21,0.1,19,1,0,0,18.28,0.316,12.5,68.63,31.37,1.333,0,23.53,19.61,56,0.373,0.333
25,Benner,Cody,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Aldaz,Nathan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Juarez,Aaron,14,3,3,60,199,2,1,0,0,0,0,12,5,2,4,10,5,2,1,1.143,11,0,0,2,1,33.33,0,0.226,14.2,3.317,51.67,10,5,4,8,2.86,66.33,68.33,65.85,7.32,17.07,0.286,10,2,0,0,10.05,0.167,2.5,70.45,29.55,1.455,0,11.36,36.36,51.16,0.279,0.083
4,Glasscock,Alex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Martinez,Danny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Utzman,Hyatt,1,1,1,6,20,0,1,0,0,0,0,4,2,2,0,0,0,0,14,4,1,0,0,0,0,0,0,0.667,20,3.333,50,0,0,0,0,3.2,70,66.67,50,0,50,0,1,0,0,0,0,0,0,83.33,16.67,0,0,16.67,16.67,66.67,0.667,0.5
8,Diamond,Jaxon,2.2,2,0,14,51,0,0,0,0,0,0,4,3,1,2,3,1,1,2.625,2.25,2,0,0,0,0,0,2,0.364,19.1,3.643,28.57,1,1,1,1,3.83,56.86,64.29,66.67,0,33.33,0.75,1,1,0,0,7.84,0.214,1.5,50,50,2,0,37.5,12.5,50,0.5,0.5
9,Savage,Cole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Breen,Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Binkley,Griffin,1,1,0,3,15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,15,5,33.33,1,1,1,0,1.17,73.33,33.33,100,0,0,0,1,0,0,0,6.67,0.333,0,50,50,1,0,0,50,50,0,0
14,Cheripka,Andrew,13.2,5,1,58,222,2,0,0,0,0,0,12,6,4,8,12,7,2,2.049,1.463,13,0,0,2,2,50,1,0.25,16.2,3.828,43.1,5,2,1,4,3.313,58.11,56.9,57.58,9.09,27.27,0.585,7,2,2,1,11.26,0.207,1.5,80.56,19.44,0.615,0,5.56,44.44,50,0.333,0.133
17,Angulo,Cristian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Hopkins,Ethan,3.2,1,1,17,65,0,0,0,0,0,0,4,1,1,2,0,0,0,1.909,1.636,4,0,0,0,1,100,0,0.267,17.7,3.824,47.06,3,0,0,1,4.613,56.92,70.59,66.67,8.33,25,0.545,3,1,0,0,3.08,0,0,80,20,0.125,0,6.67,53.33,40,0.267,0
20,Galtman,Sam,1.2,3,0,17,76,0,1,0,0,0,0,0,9,7,12,2,1,0,29.4,7.2,0,0,0,0,1,100,12,0,45.6,4.471,11.76,1,1,0,0,19.41,25,35.29,50,50,0,7.2,0,8,2,1,1.32,0.118,0.167,100,0,0,0,0,0,100,0,0
22,Robles,Roman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Samuel,Dean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Catalan,Mario,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Franchione,Wyatt,8,2,2,40,138,0,1,0,0,0,0,8,7,3,6,3,2,0,2.625,1.75,7,0,0,0,1,100,1,0.235,17.3,3.45,50,6,2,2,3,4.381,62.32,67.5,74.07,3.7,18.52,0.75,4,2,0,0,11.59,0.075,0.5,71.88,28.13,0.308,0,18.75,37.5,40,0.258,0.267
38,Matise,Jake,6,3,1,22,82,0,0,0,0,0,0,3,2,0,1,4,2,1,0,0.667,2,0,1,1,1,50,0,0.158,13.7,3.727,40.91,4,3,1,3,2.71,58.54,54.55,66.67,0,16.67,0.167,5,0,0,0,8.54,0.182,4,81.25,18.75,0.222,0,18.75,56.25,25,0.188,0
39,Holling,Sam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Swant,Jacob,1,1,0,3,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,2.667,66.67,1,1,1,1,1.17,75,66.67,100,0,0,0,1,0,0,0,12.5,0.333,0,100,0,0,0,0,50,0,0,0
43,Anaya,Jesse,9.2,4,1,47,164,1,1,0,0,0,0,6,6,3,6,8,3,5,2.172,1.241,9,1,1,1,8,88.89,5,0.167,17,3.489,46.81,5,3,3,4,4.467,57.93,53.19,76,8,16,0.621,5,2,3,2,10.37,0.17,1.333,85.71,14.29,0.778,0,14.29,35.71,50,0.214,0.105
44,Saucedo,Enrique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Licari,Joseph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Salgado,Caleb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Guzman,Joseph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Leon,Ruben,5.2,3,1,32,129,0,1,0,0,0,0,7,9,6,5,6,2,3,7.412,2.118,3,0,0,1,3,75,1,0.292,22.8,4.031,34.38,5,3,3,2,4.707,55.04,53.13,52.94,11.76,23.53,0.882,3,2,0,0,13.95,0.188,1.2,72.22,27.78,1.25,0,16.67,38.89,44.44,0.389,0.455
5,Schmidthuber,Trine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Real,Elijah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Schacher,Trent,1,1,0,9,35,0,0,0,0,0,0,2,4,4,3,0,0,1,28,5,2,0,0,0,0,0,1,0.4,35,3.889,33.33,0,0,0,0,13.56,51.43,44.44,50,25,25,3,0,2,1,1,2.86,0,0,60,40,0,0,40,40,20,0.4,0.4
8,Nelson,Blake,2,1,1,14,53,0,1,0,0,0,0,2,4,3,1,1,0,4,10.5,1.5,3,0,0,1,1,50,2,0.222,26.5,3.786,35.71,1,0,0,0,13.7,43.4,35.71,80,0,20,0.5,1,1,0,0,5.66,0.071,1,75,25,0.333,1,12.5,50,37.5,0.143,0.25
9,Andrachick,Austyn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Weckerle,Lucas,6.2,3,1,38,159,0,1,0,0,0,0,9,14,13,8,7,4,2,13.65,2.55,2,0,1,1,4,80,4,0.346,23.8,4.184,42.11,4,3,2,2,4.954,54.09,50,52.63,15.79,21.05,1.2,5,7,2,2,11.95,0.184,0.875,57.14,42.86,1.5,0,23.81,28.57,45,0.45,0.556
11,Felikian,Kirk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Orozco,David,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Manaugh,Isaac,13.1,4,3,80,316,1,1,0,0,0,0,15,15,7,17,13,4,5,3.675,2.4,22,0,1,1,10,90.91,0,0.268,23.7,3.95,37.5,8,4,1,0,5.494,53.8,55,52.27,6.82,34.09,1.275,6,2,1,0,10.76,0.163,0.765,73.33,26.67,0.692,0,20,35.56,44.44,0.333,0.2
14,Vargas,Isaac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Jitsukawa,Tomoki,15.2,3,2,71,264,0,2,0,0,0,0,16,7,6,4,20,3,3,2.681,1.277,17,0,0,0,4,100,0,0.254,16.9,3.718,43.66,9,1,0,2,1.766,67.05,69.01,71.43,6.12,16.33,0.255,11,0,1,0,15.15,0.282,5,77.27,22.73,1,0,18.18,31.82,48.84,0.364,0.217
16,Shin,Seungmin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Amine,Cade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Ewert,Sawyer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Mauter,Devin,9.1,3,2,45,163,1,1,0,0,0,0,6,5,5,12,3,0,0,3.75,1.929,12,0,0,0,2,100,3,0.188,17.5,3.622,44.44,5,3,3,5,5.877,49.08,44.44,55,25,20,1.286,4,4,3,2,6.75,0.067,0.25,90,10,0.769,0,3.33,50,46.67,0.2,0.214
21,Brown,Jeremy,7,2,2,30,124,1,0,0,0,0,0,6,4,3,3,6,1,0,3,1.286,5,0,0,0,6,100,0,0.222,17.7,4.133,36.67,4,3,2,4,2.57,60.48,50,80,6.67,13.33,0.429,4,1,1,0,12.1,0.2,2,71.43,28.57,0.2,0,4.76,57.14,38.1,0.286,0.375
23,Burton,Marcus,4,2,0,19,64,0,0,0,0,0,0,5,3,3,2,2,0,0,5.25,1.75,4,0,0,0,1,100,0,0.313,16,3.368,57.89,2,0,0,1,6,67.19,63.16,58.33,16.67,25,0.5,2,0,0,0,3.13,0.105,1,80,20,0.75,1,6.67,33.33,60,0.286,0.2
25,Reese,Colten,2.1,3,0,18,76,0,1,0,0,0,0,6,9,8,4,2,1,2,24,4.286,2,0,0,0,3,100,2,0.5,32.6,4.222,33.33,1,1,0,0,16.76,46.05,50,44.44,11.11,22.22,1.714,1,3,1,1,9.21,0.111,0.5,70,30,0,2,10,20,70,0.5,0.667
28,Cowan,Augie,8.1,6,0,41,166,0,0,0,0,0,0,9,7,5,3,3,0,1,4.2,1.44,8,0,0,0,7,100,1,0.257,19.9,4.049,29.27,5,4,1,1,3.712,57.83,51.22,80.95,0,19.05,0.36,6,2,0,0,9.64,0.073,1,76.47,23.53,0.667,0,8.82,38.24,52.94,0.265,0.333
