Number,Last,First,IP,GP,GS,BF,#P,W,L,SV,SVO,BS,SV%,H,R,ER,BB,SO,K-L,HBP,ERA,WHIP,LOB,BK,PIK,CS,SB,SB%,WP,BAA,P/IP,P/BF,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,SM%,K/BF,K/BB,WEAK%,HHB%,GO/AO,HR,LD%,FB%,GB%,BABIP,BA/RISP
3,Frye,Connor,3,3,0,11,41,0,0,0,0,0,0,1,1,1,1,2,1,2,2.333,0.667,1,0,1,0,0,0,0,0.125,13.7,3.727,36.36,3,1,1,1,4.437,53.66,27.27,100,0,0,0.333,2,0,0,0,4.88,0.182,2,83.33,16.67,0.333,0,16.67,66.67,16.67,0.167,0.5
5,Ortega,Noble,6.1,6,0,30,142,0,0,0,0,0,0,8,3,3,5,10,4,0,3.316,2.053,6,0,0,1,2,66.67,2,0.32,22.4,4.733,23.33,5,1,0,1,2.039,54.93,46.67,78.57,7.14,14.29,0.789,2,0,1,0,10.56,0.333,2,80,20,0.667,0,13.33,26.67,60,0.533,0.444
6,Morton,Aiden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Ortega,Cesar,2,1,0,9,45,0,0,0,0,0,0,1,0,0,3,2,0,0,0,2,3,0,0,1,2,66.67,0,0.167,22.5,5,22.22,1,1,1,1,5.055,53.33,77.78,71.43,14.29,14.29,1.5,1,0,1,0,11.11,0.222,0.667,50,50,0.5,0,0,50,50,0.25,0
10,Kundig,Cameron,16,4,3,71,257,2,0,0,0,0,0,12,9,5,6,14,3,1,2.188,1.125,13,0,1,0,3,100,2,0.188,16.1,3.62,50.7,10,4,2,7,2.557,64.59,56.34,80,7.5,10,0.375,10,3,3,2,10.89,0.197,2.333,80,20,1.636,0,18,22,60,0.24,0.273
11,Dawson,Kayden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Meltzer,Max,9.2,5,0,50,198,0,0,0,0,0,0,10,13,13,9,6,4,2,9.414,1.966,10,3,0,1,4,80,5,0.256,20.5,3.96,44,3,3,1,1,4.887,54.04,48,58.33,12.5,20.83,0.931,4,6,1,1,5.56,0.12,0.667,87.88,12.12,0.429,0,12.12,51.52,36.36,0.303,0.222
13,Buysse,Jacob,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Seliskar,Judson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Murata,Stevie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
